"gene_id","D9JS27_BC1_R2.bam","D9JS27_BC2_R2.bam","D9JS27_BC3_R2.bam","D9JS27_BC4_R2.bam","D9JS27_BC5_R2.bam","D9JS27_BC6_R2.bam","D9JS27_BC7_R2.bam","D9JS27_BC8_R2.bam","D9JS27_BC9_R2.bam","D9JS27_BC10_R2.bam","D9JS27_BC11_R2.bam","D9JS27_BC12_R2.bam","D9JS27_BC13_R2.bam","D9JS27_BC14_R2.bam","D9JS27_BC15_R2.bam","D9JS27_BC16_R2.bam","D9JS27_BC17_R2.bam","D9JS27_BC18_R2.bam","D9JS27_BC19_R2.bam","D9JS27_BC20_R2.bam","D9JS27_BC21_R2.bam","D9JS27_BC22_R2.bam","D9JS27_BC23_R2.bam","D9JS27_BC24_R2.bam","D9JS27_BC25_R2.bam","D9JS27_BC26_R2.bam","D9JS27_BC27_R2.bam","D9JS27_BC28_R2.bam","D9JS27_BC29_R2.bam","D9JS27_BC30_R2.bam","D9JS27_BC31_R2.bam","D9JS27_BC32_R2.bam","D9JS27_BC33_R2.bam","D9JS27_BC34_R2.bam","D9JS27_BC35_R2.bam","D9JS27_BC36_R2.bam","D9JS27_BC37_R2.bam","D9JS27_BC38_R2.bam","D9JS27_BC39_R2.bam","D9JS27_BC40_R2.bam"
"ERCC-00076",0,0,0,49,0,0,7,0,0,26,56,30,121,0,0,0,0,53,0,31,0,201,76,51,0,0,0,9,101,0,0,0,99,75,0,281,231,2,738,10
"ERCC-00113",21,486,225,31,625,230,301,465,359,164,110,37,480,275,322,392,480,521,306,562,611,328,1175,512,183,10,265,314,161,65,370,567,575,337,155,426,860,283,514,360
"ERCC-00171",7,476,280,437,150,225,123,329,124,310,107,99,338,164,115,75,299,342,361,724,513,302,297,103,280,15,186,119,167,4,149,126,358,481,0,362,258,258,686,191
"ERCC-00009",4,12,20,41,0,27,58,24,18,0,24,10,5,65,142,0,15,198,180,149,29,0,278,44,19,0,349,75,102,0,161,47,42,53,0,104,43,315,164,425
"ERCC-00130",130,4459,4046,1716,4451,2162,2454,2811,2921,2407,1415,1360,4845,1353,4082,2831,4111,3141,4327,10189,6284,3980,6100,3288,3246,319,3450,1955,4738,521,3232,4525,5864,3225,652,4795,4948,3065,5399,4656
"ERCC-00043",1,176,17,23,0,426,0,52,676,26,0,152,98,56,230,21,753,25,478,1001,795,279,782,203,146,46,19,2,71,0,0,931,271,199,12,614,728,0,312,0
"ERCC-00145",3,30,29,42,35,13,0,65,16,63,74,2,7,0,5,0,60,117,74,104,108,174,41,63,0,0,14,83,8,0,64,10,118,0,16,8,47,81,74,84
"ERCC-00002",84,4319,2923,1621,4338,3763,2941,4069,2476,3650,799,1127,6303,3259,5569,3582,4637,5505,4183,12006,4957,5834,6198,4237,4654,385,3148,3443,3298,1253,6485,5246,3632,2321,691,6856,5723,5798,10087,9395
"ERCC-00003",2,452,55,123,866,137,30,271,161,261,29,301,358,158,0,210,58,147,390,723,204,328,718,184,64,5,128,62,104,1,277,481,300,416,0,333,233,227,327,409
"ERCC-00022",0,50,0,24,66,40,0,42,0,31,0,20,0,16,26,203,0,11,5,0,25,54,1,0,0,0,0,0,4,10,1,0,24,4,4,78,139,38,16,0
"ERCC-00074",93,1948,2099,1066,2476,2748,2649,1554,1988,2611,743,828,2744,1464,3235,2633,2030,2275,2456,4996,2550,3442,4414,1727,1918,306,2248,1533,2315,1066,3528,2137,2835,1599,1090,3397,3606,2468,5768,3657
"ERCC-00108",9,334,96,44,0,168,156,79,76,129,11,0,178,140,299,118,383,173,288,229,163,50,212,273,30,0,108,232,345,1,418,412,256,8,32,329,159,213,82,182
"ERCC-00116",0,48,128,0,41,55,119,41,34,7,35,0,43,7,17,41,0,0,356,225,40,104,158,87,0,0,0,0,0,0,0,4,91,0,0,121,4,18,69,100
"ERCC-00046",92,1690,1043,1549,1688,2054,770,973,948,1473,659,506,1708,1643,1279,1254,1762,430,1482,3402,2207,1850,3069,1929,734,27,746,1128,1574,200,1993,2266,1507,1335,83,1978,1851,1126,2066,3089
"ERCC-00111",0,103,48,0,217,46,90,117,162,67,7,93,51,0,348,121,120,101,8,222,36,75,194,2,32,0,0,58,0,36,137,120,218,0,0,173,18,5,37,60
"ERCC-00004",21,2039,425,242,1141,463,665,1517,1041,1622,199,383,1138,897,805,1598,660,969,950,2053,1234,1580,1456,1061,809,44,691,795,981,139,953,831,1013,753,531,1281,1597,993,1392,1245
"ERCC-00060",9,287,230,78,116,125,205,270,7,14,117,38,2,310,343,25,101,70,86,272,212,139,130,61,164,0,98,22,134,0,53,5,131,69,130,314,51,43,222,151
"ERCC-00136",11,659,305,67,962,165,177,205,225,641,108,208,1104,309,135,304,528,292,961,567,434,284,1244,285,411,0,332,67,356,0,790,198,105,530,44,1734,374,243,1076,506
"ERCC-00092",7,165,2,0,19,6,4,0,0,15,3,8,30,1,0,175,47,33,24,469,13,192,1,27,0,0,0,0,9,0,172,32,21,62,0,22,1,22,1,44
"ERCC-00042",0,119,3,115,305,143,0,15,8,83,9,46,81,45,131,82,347,167,220,167,269,238,256,138,8,15,10,234,19,52,159,65,193,0,0,110,689,530,92,248
"ERCC-00096",103,4032,2472,1091,2184,2778,3140,2046,1852,3349,1352,791,3135,1605,3828,2748,2343,2956,4028,5388,3973,4054,5375,3220,2483,197,2710,1393,3202,610,4170,3838,4155,1784,1045,6034,3687,3318,4501,4716
